Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
506,Finn Dahmen,GER,GK,Augsburg,de Bundesliga,25-287,1998,16.0,35.2,46.0,76.5,944.4,601.9,6.13,6.19,99.0,19.6,20.0,98.1,9.38,19.6,47.9,0.00,0.00,0.01,0.00,0.00,1.69,0.06,0.00,0.13,https://fbref.com/en/players/dee3013b/Finn-Dahmen,dee3013b,Big 5 combined
507,Mahmoud Dahoud,GER,MF,Brighton,eng Premier League,28-007,1996,5.0,56.8,65.6,86.6,802.2,177.2,33.8,35.2,96.0,16.8,19.8,84.8,3.20,5.00,64.0,0.20,0.18,0.08,0.02,2.00,4.20,0.20,0.20,2.20,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud,db4ed67b,Big 5 combined
508,Ameen Al-Dakhil,BEL,DF,Burnley,eng Premier League,21-308,2002,9.7,51.1,59.8,85.5,929.3,273.8,19.3,20.1,95.9,27.1,30.4,89.2,4.23,7.73,54.7,0.00,0.01,0.05,-0.01,0.10,1.34,0.21,0.00,3.09,https://fbref.com/en/players/93e08bce/Ameen-Al-Dakhil,93e08bce,Big 5 combined
509,Thijs Dallinga,NED,FW,Toulouse,fr Ligue 1,23-158,2000,12.0,14.8,22.7,65.4,213.4,36.8,8.25,11.8,70.2,4.42,7.17,61.6,1.00,1.42,70.6,0.08,0.05,0.07,0.03,0.58,0.67,0.58,0.17,1.08,https://fbref.com/en/players/b70afb45/Thijs-Dallinga,b70afb45,Big 5 combined
510,Diogo Dalot,POR,DF,Manchester Utd,eng Premier League,24-296,1999,17.3,43.3,54.2,79.9,754.3,230.2,19.9,22.8,87.3,17.0,20.8,81.9,4.91,7.28,67.5,0.06,0.08,0.08,-0.02,1.10,3.29,1.04,0.64,3.82,https://fbref.com/en/players/d9565625/Diogo-Dalot,d9565625,Big 5 combined
511,Mikkel Damsgaard,DEN,MF,Brentford,eng Premier League,23-189,2000,2.6,39.2,53.1,73.9,669.6,233.8,19.2,24.6,78.1,14.6,18.8,77.6,4.23,7.31,57.9,0.00,0.19,0.12,-0.19,1.15,6.54,1.15,0.38,9.23,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,215f3907,Big 5 combined
512,Flavius Daniliuc,AUT,DF,Salernitana,it Serie A,22-256,2001,7.1,41.3,48.7,84.7,690.3,295.2,19.3,22.3,86.7,17.7,19.4,91.3,3.10,4.37,71.0,0.00,0.03,0.01,-0.03,0.70,3.52,0.28,0.00,4.23,https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,7ef972c3,Big 5 combined
513,Danilo,BRA,"MF,FW",Nott'ham Forest,eng Premier League,22-254,2001,7.3,25.5,33.4,76.2,453.8,101.8,11.0,13.8,79.2,11.2,12.5,90.1,2.47,4.25,58.1,0.00,0.01,0.01,-0.01,0.27,1.78,0.55,0.00,3.42,https://fbref.com/en/players/a816dbfb/Danilo,a816dbfb,Big 5 combined
514,Danilo,BRA,DF,Juventus,it Serie A,32-177,1991,13.2,56.6,66.7,84.8,1099.3,372.1,20.2,21.7,93.4,28.9,32.0,90.5,6.97,11.6,60.1,0.08,0.05,0.05,0.02,1.06,5.23,0.53,0.15,5.76,https://fbref.com/en/players/94b2001f/Danilo,94b2001f,Big 5 combined
515,Arnaut Danjuma,NED,"MF,FW",Everton,eng Premier League,26-342,1997,4.9,17.3,25.7,67.5,234.7,54.3,9.39,11.8,79.3,6.53,9.18,71.1,0.20,1.02,20.0,0.00,0.10,0.04,-0.10,1.02,1.02,0.20,0.00,1.22,https://fbref.com/en/players/f08490a6/Arnaut-Danjuma,f08490a6,Big 5 combined
516,Kevin Danso,AUT,DF,Lens,fr Ligue 1,25-111,1998,15.0,50.9,57.3,88.9,917.5,359.7,21.2,22.7,93.5,23.6,26.1,90.5,4.93,6.80,72.5,0.00,0.02,0.03,-0.02,0.27,4.93,0.13,0.00,4.53,https://fbref.com/en/players/6e33125f/Kevin-Danso,6e33125f,Big 5 combined
517,Dante,BRA,DF,Nice,fr Ligue 1,40-082,1983,17.0,84.4,93.2,90.5,1438.2,595.2,39.9,41.4,96.4,36.5,38.5,94.8,5.88,10.4,56.8,0.06,0.02,0.04,0.04,0.41,5.35,0.24,0.06,5.88,https://fbref.com/en/players/fd2bc67d/Dante,fd2bc67d,Big 5 combined
518,Mohammed Daramy,DEN,"FW,MF",Reims,fr Ligue 1,22-001,2002,11.2,21.7,28.8,75.5,302.9,86.7,12.2,15.6,78.3,7.14,8.66,82.5,0.63,1.07,58.3,0.36,0.18,0.20,0.18,1.43,0.98,1.96,0.18,4.20,https://fbref.com/en/players/06a1d642/Mohammed-Daramy,06a1d642,Big 5 combined
519,Sergi Darder,ESP,"MF,FW",Mallorca,es La Liga,30-017,1993,12.6,28.0,40.8,68.7,537.8,185.9,12.5,14.4,87.3,9.92,13.3,74.4,4.84,10.5,46.2,0.24,0.31,0.23,-0.07,2.14,4.44,1.27,0.48,4.84,https://fbref.com/en/players/070a3904/Sergi-Darder,070a3904,Big 5 combined
520,Achraf Dari,MAR,"DF,FW",Brest,fr Ligue 1,24-247,1999,1.3,56.2,65.4,85.9,1363.8,433.8,8.46,10.8,78.6,34.6,36.2,95.7,13.1,17.7,73.9,0.00,0.00,0.00,0.00,0.00,3.08,0.00,0.00,6.15,https://fbref.com/en/players/5069b796/Achraf-Dari,5069b796,Big 5 combined
521,Matteo Darmian,ITA,DF,Inter,it Serie A,34-037,1989,15.3,49.4,57.6,85.7,867.2,296.9,20.3,22.1,92.0,24.6,26.5,92.6,3.59,6.14,58.5,0.00,0.04,0.04,-0.04,0.59,2.81,0.26,0.07,2.75,https://fbref.com/en/players/96e0490d/Matteo-Darmian,96e0490d,Big 5 combined
522,Lukas Daschner,GER,"MF,FW",Bochum,de Bundesliga,25-099,1998,3.4,17.9,28.8,62.2,244.7,79.7,9.12,12.4,73.8,6.47,9.71,66.7,0.59,2.65,22.2,0.29,0.24,0.26,0.06,1.76,0.88,1.18,0.29,2.94,https://fbref.com/en/players/93a8c4f9/Lukas-Daschner,93a8c4f9,Big 5 combined
523,Josh Dasilva,ENG,MF,Brentford,eng Premier League,25-077,1998,0.1,10.0,10.0,100.0,100.0,0.00,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/60344e4f/Josh-Dasilva,60344e4f,Big 5 combined
524,David Datro Fofana,CIV,"FW,MF",Union Berlin,de Bundesliga,21-017,2002,7.6,13.9,20.0,69.7,202.1,45.5,8.55,10.9,78.3,3.29,5.13,64.1,1.18,1.32,90.0,0.00,0.04,0.04,-0.04,0.66,0.66,1.05,0.26,1.84,https://fbref.com/en/players/e82900ef/David-Datro-Fofana,e82900ef,Big 5 combined
525,Jonathan David,CAN,FW,Lille,fr Ligue 1,23-359,2000,13.7,19.4,23.9,81.3,263.2,54.6,11.3,13.2,85.6,6.57,7.88,83.3,0.29,0.44,66.7,0.07,0.15,0.10,-0.08,0.88,1.61,1.24,0.07,2.85,https://fbref.com/en/players/ce50fd99/Jonathan-David,ce50fd99,Big 5 combined
526,Alphonso Davies,CAN,DF,Bayern Munich,de Bundesliga,23-067,2000,12.1,63.6,72.1,88.3,919.0,235.7,38.1,42.0,90.7,22.8,24.6,92.6,1.24,2.40,51.7,0.25,0.12,0.16,0.12,1.74,3.64,1.74,0.41,5.12,https://fbref.com/en/players/d781d855/Alphonso-Davies,d781d855,Big 5 combined
527,Ben Davies,WAL,DF,Tottenham,eng Premier League,30-259,1993,10.0,67.3,73.3,91.8,1248.0,485.2,25.3,26.6,95.1,35.0,37.0,94.6,5.90,7.70,76.6,0.00,0.01,0.03,-0.01,0.10,7.10,0.20,0.00,5.80,https://fbref.com/en/players/44781702/Ben-Davies,44781702,Big 5 combined
528,Tom Davies,ENG,MF,Sheffield Utd,eng Premier League,25-192,1998,0.7,51.4,64.3,80.0,734.3,207.1,31.4,34.3,91.7,17.1,21.4,80.0,1.43,2.86,50.0,0.00,0.14,0.00,-0.14,1.43,5.71,0.00,0.00,5.71,https://fbref.com/en/players/9228b07c/Tom-Davies,9228b07c,Big 5 combined
529,Keinan Davis,ENG,FW,Udinese,it Serie A,25-329,1998,0.1,30.0,30.0,100.0,470.0,20.0,0.00,0.00,,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9deaf2c8/Keinan-Davis,9deaf2c8,Big 5 combined
530,Paweł Dawidowicz,POL,DF,Hellas Verona,it Serie A,28-233,1995,11.1,42.0,50.5,83.1,883.4,302.9,10.0,12.0,83.5,26.0,28.5,91.5,5.68,9.10,62.4,0.00,0.00,0.01,0.00,0.09,2.16,0.18,0.00,3.33,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,16bb656a,Big 5 combined
531,Craig Dawson,ENG,DF,Wolves,eng Premier League,33-247,1990,17.5,46.2,53.7,86.1,991.5,353.7,12.0,13.4,89.4,27.0,28.6,94.4,6.91,10.6,65.4,0.00,0.03,0.03,-0.03,0.29,2.23,0.11,0.00,2.17,https://fbref.com/en/players/3e9e06cb/Craig-Dawson,3e9e06cb,Big 5 combined
532,Kevin De Bruyne,BEL,MF,Manchester City,eng Premier League,32-194,1991,0.2,30.0,50.0,60.0,710.0,370.0,5.00,10.0,50.0,20.0,25.0,80.0,5.00,10.0,50.0,0.00,1.00,1.00,-1.00,5.00,0.00,15.0,10.0,5.00,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,e46012d4,Big 5 combined
533,Charles De Ketelaere,BEL,FW,Atalanta,it Serie A,22-304,2001,10.3,23.6,32.5,72.5,348.2,88.2,12.5,16.0,78.2,8.64,11.3,76.7,1.07,2.23,47.8,0.39,0.28,0.14,0.11,2.23,1.46,1.75,0.19,5.24,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,2ef7c612,Big 5 combined
534,Rodrigo De Paul,ARG,MF,Atlético Madrid,es La Liga,29-229,1994,11.2,58.9,69.8,84.4,961.3,289.3,30.2,32.9,91.8,20.2,23.4,86.3,5.98,8.13,73.6,0.36,0.28,0.27,0.08,1.70,5.09,2.77,0.36,7.95,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,162efffd,Big 5 combined
535,Lorenzo De Silvestri,ITA,DF,Bologna,it Serie A,35-230,1988,4.9,51.0,59.8,85.3,788.2,282.0,25.9,28.0,92.7,21.8,25.9,84.3,2.24,3.67,61.1,0.00,0.00,0.00,0.00,0.00,3.47,0.20,0.20,5.10,https://fbref.com/en/players/e74f0e59/Lorenzo-De-Silvestri,e74f0e59,Big 5 combined
536,Thibault De Smet,BEL,"DF,FW",Reims,fr Ligue 1,25-217,1998,12.6,39.4,50.2,78.5,650.9,232.1,19.2,22.1,86.7,17.1,19.8,86.3,2.54,6.03,42.1,0.00,0.04,0.04,-0.04,0.79,3.73,0.95,0.32,5.16,https://fbref.com/en/players/5fdcb075/Thibault-De-Smet,5fdcb075,Big 5 combined
537,Koni De Winter,BEL,DF,Genoa,it Serie A,21-210,2002,11.5,38.1,44.3,85.9,651.0,203.4,15.7,17.3,90.5,19.6,21.7,90.0,2.17,3.39,64.1,0.09,0.08,0.02,0.01,0.35,1.39,0.26,0.00,1.91,https://fbref.com/en/players/f4797849/Koni-De-Winter,f4797849,Big 5 combined
538,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,it Serie A,32-205,1991,2.7,20.0,23.7,84.4,305.2,57.0,11.5,13.0,88.6,7.41,8.52,87.0,1.11,1.48,75.0,0.37,0.30,0.30,0.07,1.11,2.59,0.00,0.00,2.59,https://fbref.com/en/players/854ee61a/Gregoire-Defrel,854ee61a,Big 5 combined
539,Alessandro Deiola,ITA,MF,Cagliari,it Serie A,28-160,1995,5.5,21.8,32.0,68.2,412.5,138.9,11.1,13.8,80.3,7.45,10.7,69.5,3.27,6.00,54.5,0.00,0.09,0.05,-0.09,1.09,3.27,0.55,0.18,4.55,https://fbref.com/en/players/7f267d66/Alessandro-Deiola,7f267d66,Big 5 combined
540,Romain Del Castillo,FRA,FW,Brest,fr Ligue 1,27-285,1996,15.1,31.3,48.3,64.7,547.7,196.0,15.7,20.1,78.0,9.07,13.9,65.2,4.83,9.47,51.0,0.33,0.34,0.32,-0.01,2.98,3.77,2.32,0.60,4.64,https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,0be95d34,Big 5 combined
541,Thomas Delaine,FRA,"DF,MF",Strasbourg,fr Ligue 1,31-290,1992,12.1,28.3,39.8,71.0,503.4,175.5,11.0,13.5,81.6,13.6,18.3,74.7,2.89,5.70,50.7,0.08,0.17,0.15,-0.08,1.40,1.49,0.99,0.74,2.40,https://fbref.com/en/players/8332db56/Thomas-Delaine,8332db56,Big 5 combined
542,Sacha Delaye,FRA,"FW,MF",Montpellier,fr Ligue 1,21-260,2002,1.1,26.4,34.5,76.3,330.0,72.7,15.5,18.2,85.0,8.18,10.0,81.8,0.00,2.73,0.0,0.00,0.09,0.09,-0.09,1.82,2.73,0.91,0.91,2.73,https://fbref.com/en/players/e4448c8c/Sacha-Delaye,e4448c8c,Big 5 combined
543,Hannes Delcroix,BEL,DF,Burnley,eng Premier League,24-314,1999,4.3,56.3,62.8,89.6,918.6,289.5,27.0,28.1,95.9,25.8,27.7,93.3,2.79,5.35,52.2,0.00,0.05,0.02,-0.05,0.70,3.95,0.23,0.00,2.79,https://fbref.com/en/players/b737f944/Hannes-Delcroix,b737f944,Big 5 combined
544,Olivier Deman,BEL,DF,Werder Bremen,de Bundesliga,23-277,2000,9.2,37.4,49.1,76.1,674.8,208.6,16.2,18.2,89.2,16.3,20.1,81.1,4.35,8.04,54.1,0.11,0.05,0.08,0.05,0.87,2.28,0.76,0.43,2.93,https://fbref.com/en/players/13210854/Olivier-Deman,13210854,Big 5 combined
545,Karamoko Dembele,SCO,"MF,FW",Brest,fr Ligue 1,20-320,2003,0.2,40.0,50.0,80.0,855.0,120.0,15.0,15.0,100.0,20.0,20.0,100.0,5.00,15.0,33.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,https://fbref.com/en/players/7304f3b1/Karamoko-Dembele,7304f3b1,Big 5 combined
546,Ousmane Dembélé,FRA,"MF,FW",Paris S-G,fr Ligue 1,26-238,1997,10.6,44.6,59.2,75.3,746.5,221.1,21.9,25.9,84.4,17.1,22.2,77.0,3.77,6.79,55.6,0.47,0.31,0.32,0.16,3.68,3.87,3.02,0.57,7.17,https://fbref.com/en/players/b19db005/Ousmane-Dembele,b19db005,Big 5 combined
547,Jessy Deminguet,FRA,"MF,FW",Strasbourg,fr Ligue 1,26-001,1998,6.4,26.7,31.4,85.1,484.7,129.2,12.8,13.6,94.3,10.2,11.7,86.7,3.28,5.47,60.0,0.00,0.00,0.03,0.00,0.16,3.75,0.31,0.00,2.81,https://fbref.com/en/players/a6138e4a/Jessy-Deminguet,a6138e4a,Big 5 combined
548,Ermedin Demirović,BIH,"MF,FW",Augsburg,de Bundesliga,25-289,1998,15.4,11.6,19.1,60.5,154.3,37.9,6.75,9.87,68.4,3.31,4.74,69.9,0.52,0.78,66.7,0.32,0.13,0.14,0.19,0.97,1.43,0.45,0.06,1.69,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,ed79b7d3,Big 5 combined
549,Sepp van den Berg,NED,DF,Mainz 05,de Bundesliga,22-019,2001,13.5,45.1,56.2,80.2,836.1,284.5,15.7,17.9,88.0,24.7,29.7,83.3,3.93,6.74,58.2,0.00,0.00,0.01,0.00,0.07,4.00,0.07,0.00,4.22,https://fbref.com/en/players/7bf9400b/Sepp-van-den-Berg,7bf9400b,Big 5 combined
550,Leander Dendoncker,BEL,MF,Aston Villa,eng Premier League,28-268,1995,1.3,34.6,43.1,80.4,572.3,106.9,18.5,21.5,85.7,14.6,16.9,86.4,1.54,3.08,50.0,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,2.31,https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,5a7301ae,Big 5 combined
551,Rémy Descamps,FRA,GK,Nantes,fr Ligue 1,27-197,1996,5.0,22.8,36.8,62.0,751.2,588.4,5.00,5.00,100.0,6.80,6.80,100.0,11.0,25.0,44.0,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,https://fbref.com/en/players/477e50ce/Remy-Descamps,477e50ce,Big 5 combined
552,Mikkel Desler,DEN,DF,Toulouse,fr Ligue 1,28-323,1995,11.7,42.8,51.1,83.8,631.2,187.5,23.6,26.0,90.8,15.3,18.4,83.3,1.79,3.25,55.3,0.09,0.03,0.08,0.05,0.43,2.31,0.26,0.17,4.10,https://fbref.com/en/players/1d5c96f8/Mikkel-Desler,1d5c96f8,Big 5 combined
553,Arthur Desmas,FRA,GK,Le Havre,fr Ligue 1,29-276,1994,17.0,18.8,28.0,67.0,531.4,399.1,3.59,3.59,100.0,8.47,8.53,99.3,6.47,15.4,42.0,0.00,0.02,0.00,-0.02,0.06,0.41,0.00,0.00,0.00,https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas,e8c5dd4d,Big 5 combined
554,Mattia Destro,ITA,"FW,MF",Empoli,it Serie A,32-294,1991,2.1,11.4,16.7,68.6,154.3,12.9,6.19,8.10,76.5,4.76,6.67,71.4,0.00,0.00,,0.00,0.14,0.00,-0.14,0.95,0.95,0.00,0.00,0.95,https://fbref.com/en/players/d7d32194/Mattia-Destro,d7d32194,Big 5 combined
555,Federico Di Francesco,ITA,"FW,MF",Lecce,it Serie A,29-208,1994,0.2,30.0,40.0,75.0,450.0,215.0,5.00,10.0,50.0,10.0,10.0,100.0,5.00,10.0,50.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,https://fbref.com/en/players/1fca9171/Federico-Di-Francesco,1fca9171,Big 5 combined
556,Michele Di Gregorio,ITA,GK,Monza,it Serie A,26-165,1997,17.4,31.3,40.1,78.2,802.8,504.8,6.95,7.07,98.4,15.5,15.6,98.9,8.56,17.0,50.5,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,4e0c8d66,Big 5 combined
557,Giovanni Di Lorenzo,ITA,DF,Napoli,it Serie A,30-157,1993,19.0,60.3,71.8,84.0,963.1,375.6,33.3,35.9,92.7,21.1,25.6,82.3,4.79,7.00,68.4,0.21,0.17,0.15,0.04,1.47,6.11,2.79,0.58,7.79,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,230a2fac,Big 5 combined
558,Alessandro Di Pardo,ITA,"MF,DF",Cagliari,it Serie A,24-174,1999,2.0,26.0,41.0,63.4,434.0,171.5,14.0,18.5,75.7,9.50,13.5,70.4,2.00,5.50,36.4,0.00,0.00,0.00,0.00,0.50,1.00,1.00,0.50,2.50,https://fbref.com/en/players/e0ce7038/Alessandro-Di-Pardo,e0ce7038,Big 5 combined
559,Boulaye Dia,SEN,"FW,MF",Salernitana,it Serie A,27-053,1996,10.5,16.3,19.8,82.2,263.8,50.1,8.10,9.24,87.6,5.71,6.38,89.6,1.43,2.10,68.2,0.00,0.04,0.05,-0.04,0.76,1.81,0.48,0.00,1.62,https://fbref.com/en/players/244bc2c8/Boulaye-Dia,244bc2c8,Big 5 combined
560,Moussa Diaby,FRA,"FW,MF",Aston Villa,eng Premier League,24-185,1999,14.3,21.5,26.6,80.8,312.2,50.8,12.8,14.6,87.6,7.06,8.81,80.2,0.91,1.61,56.5,0.28,0.29,0.19,-0.01,1.89,1.40,1.82,0.42,3.08,https://fbref.com/en/players/aeed5c06/Moussa-Diaby,aeed5c06,Big 5 combined
561,Lamine Diack,SEN,MF,Nantes,fr Ligue 1,23-054,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/f4547573/Lamine-Diack,f4547573,Big 5 combined
562,Mouctar Diakhaby,GUI,"DF,MF",Valencia,es La Liga,27-020,1996,9.9,37.5,43.9,85.3,719.0,202.9,13.3,14.1,94.3,19.7,21.7,90.7,3.74,6.67,56.1,0.00,0.00,0.01,0.00,0.20,1.82,0.20,0.00,2.53,https://fbref.com/en/players/d2110326/Mouctar-Diakhaby,d2110326,Big 5 combined
563,Mamadou Diakhon,FRA,"FW,MF",Reims,fr Ligue 1,18-108,2005,0.6,16.7,18.3,90.9,253.3,58.3,8.33,8.33,100.0,8.33,10.0,83.3,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/331c5a98/Mamadou-Diakhon,331c5a98,Big 5 combined
564,Bafodé Diakité,FRA,DF,Lille,fr Ligue 1,23-002,2001,8.7,59.2,65.4,90.5,924.7,321.5,30.0,32.5,92.2,24.5,26.6,92.2,2.99,3.68,81.3,0.11,0.08,0.05,0.03,0.80,4.02,0.00,0.00,3.79,https://fbref.com/en/players/1bfb6fef/Bafode-Diakite,1bfb6fef,Big 5 combined
565,Ibrahim Diakité,GUI,DF,Reims,fr Ligue 1,20-069,2003,1.2,47.5,70.8,67.1,745.0,274.2,23.3,32.5,71.8,15.8,23.3,67.9,5.00,7.50,66.7,0.00,0.17,0.08,-0.17,1.67,5.00,1.67,0.83,5.83,https://fbref.com/en/players/d8c19a60/Ibrahim-Diakite,d8c19a60,Big 5 combined
566,Moussa Diakité,MLI,MF,Cádiz,es La Liga,20-065,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/d925b04e/Moussa-Diakite,d925b04e,Big 5 combined
567,Oumar Diakité,CIV,FW,Reims,fr Ligue 1,20-019,2003,6.7,14.9,19.7,75.8,207.2,30.7,7.76,10.0,77.6,6.27,7.01,89.4,0.15,0.60,25.0,0.00,0.07,0.07,-0.07,0.75,0.45,0.45,0.00,1.34,https://fbref.com/en/players/44435c8f/Oumar-Diakite,44435c8f,Big 5 combined
568,Amad Diallo,CIV,FW,Manchester Utd,eng Premier League,21-181,2002,0.4,42.5,45.0,94.4,470.0,65.0,32.5,35.0,92.9,5.00,5.00,100.0,0.00,0.00,,0.00,0.25,0.25,-0.25,2.50,5.00,0.00,0.00,2.50,https://fbref.com/en/players/9dc96f10/Amad-Diallo,9dc96f10,Big 5 combined
569,Amadou Diallo,ENG,MF,Newcastle Utd,eng Premier League,20-327,2003,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/e31708b2/Amadou-Diallo,e31708b2,Big 5 combined
570,Assane Diao,ESP,FW,Betis,es La Liga,18-123,2005,8.8,16.8,22.5,74.7,195.6,34.4,11.5,13.7,83.5,2.73,3.41,80.0,0.80,0.91,87.5,0.00,0.06,0.08,-0.06,0.57,0.34,0.34,0.11,1.82,https://fbref.com/en/players/8ae7d0ec/Assane-Diao,8ae7d0ec,Big 5 combined
571,Mouhamadou Diarra,FRA,"MF,FW",Strasbourg,fr Ligue 1,20-005,2004,11.4,24.2,29.5,82.1,487.5,110.8,8.95,10.8,82.9,11.1,12.7,86.9,3.95,5.26,75.0,0.09,0.06,0.08,0.03,0.61,2.98,0.44,0.00,3.68,https://fbref.com/en/players/6d0fe035/Mouhamadou-Diarra,6d0fe035,Big 5 combined
572,Moussa Diarra,MLI,DF,Toulouse,fr Ligue 1,23-059,2000,8.4,34.3,43.0,79.8,578.1,228.6,14.9,18.0,82.8,16.8,19.9,84.4,1.79,2.86,62.5,0.12,0.07,0.07,0.05,0.48,3.10,1.07,0.24,3.81,https://fbref.com/en/players/698f11e3/Moussa-Diarra,698f11e3,Big 5 combined
573,Rúben Dias,POR,DF,Manchester City,eng Premier League,26-239,1997,14.4,89.9,96.8,92.9,1581.7,500.6,38.1,39.2,97.2,45.2,47.4,95.3,5.90,8.54,69.1,0.00,0.01,0.07,-0.01,0.21,8.61,0.56,0.14,6.81,https://fbref.com/en/players/31c69ef1/Ruben-Dias,31c69ef1,Big 5 combined
574,Krépin Diatta,SEN,"DF,MF",Monaco,fr Ligue 1,24-317,1999,7.0,45.9,57.9,79.3,746.1,278.4,23.3,27.3,85.3,17.9,21.9,81.7,3.57,5.43,65.8,0.00,0.11,0.16,-0.11,1.57,4.00,1.71,0.14,6.57,https://fbref.com/en/players/8104e41e/Krepin-Diatta,8104e41e,Big 5 combined
575,Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30-200,1993,17.0,29.2,42.8,68.4,854.2,615.0,5.12,5.12,100.0,13.1,13.6,96.5,10.6,23.5,45.1,0.00,0.01,0.01,-0.01,0.12,1.35,0.06,0.00,0.06,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,Big 5 combined
576,Mahamadou Diawara,FRA,MF,Lyon,fr Ligue 1,18-325,2005,3.3,32.1,38.8,82.8,478.2,88.8,16.4,18.5,88.5,11.5,12.4,92.7,2.42,4.24,57.1,0.00,0.03,0.06,-0.03,0.61,2.12,0.61,0.00,4.85,https://fbref.com/en/players/1906b842/Mahamadou-Diawara,1906b842,Big 5 combined
577,Brahim Díaz,ESP,"FW,MF",Real Madrid,es La Liga,24-158,1999,6.0,41.2,50.2,82.1,509.0,130.5,29.3,30.8,95.1,7.33,9.50,77.2,1.67,4.00,41.7,0.17,0.27,0.33,-0.10,1.17,3.00,2.17,0.50,4.33,https://fbref.com/en/players/407feb71/Brahim-Diaz,407feb71,Big 5 combined
578,Luis Díaz,COL,FW,Liverpool,eng Premier League,26-360,1997,12.8,28.0,34.8,80.7,427.5,94.2,16.1,18.1,88.8,8.44,10.3,81.8,2.27,2.89,78.4,0.08,0.13,0.14,-0.05,1.72,2.19,1.48,0.16,3.75,https://fbref.com/en/players/4a1a9578/Luis-Diaz,4a1a9578,Big 5 combined
579,Víctor Díaz,ESP,"DF,MF",Granada,es La Liga,35-210,1988,1.8,26.1,41.1,63.5,560.6,199.4,6.67,8.33,80.0,15.6,17.8,87.5,3.89,11.1,35.0,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,1.11,https://fbref.com/en/players/3624ce4c/Victor-Diaz,3624ce4c,Big 5 combined
580,Famara Diedhiou,SEN,"FW,MF",Granada,es La Liga,31-024,1992,1.0,20.0,41.0,48.8,278.0,22.0,14.0,22.0,63.6,3.00,9.00,33.3,2.00,3.00,66.7,1.00,0.20,0.20,0.80,1.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e447352c/Famara-Diedhiou,e447352c,Big 5 combined
581,Bamba Dieng,SEN,FW,Lorient,fr Ligue 1,23-291,2000,4.3,15.3,18.6,82.5,202.1,17.9,9.53,10.9,87.2,3.95,5.12,77.3,0.47,0.47,100.0,0.00,0.09,0.02,-0.09,0.93,0.70,0.23,0.00,0.70,https://fbref.com/en/players/40774c6b/Bamba-Dieng,40774c6b,Big 5 combined
582,Eric Dier,ENG,DF,Tottenham,eng Premier League,29-358,1994,2.2,56.8,64.1,88.7,940.9,471.4,23.6,25.9,91.2,31.4,32.7,95.8,1.36,4.55,30.0,0.00,0.00,0.00,0.00,0.00,1.36,0.00,0.00,1.36,https://fbref.com/en/players/ac861941/Eric-Dier,ac861941,Big 5 combined
